year,country,image_url,region_code,region,gdp_per_capita,family,social_support,health_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
2018,Burkina Faso,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg,2.0,Africa,0.314,,1.097,0.254,0.312,0.175,0.128
2016,Burkina Faso,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg,2.0,Africa,0.31995,0.63054,,0.21297,0.3337,0.24353,
2019,Burkina Faso,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg,2.0,Africa,0.331,,1.056,0.38,0.255,0.177,0.113
2017,Burkina Faso,https://upload.wikimedia.org/wikipedia/commons/3/31/Flag_of_Burkina_Faso.svg,2.0,Africa,0.350227714,1.043280005,,0.215844259,0.324367851,0.250864685,
2015,Burundi,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg,2.0,Africa,0.0153,0.41587,,0.22396,0.1185,0.19727,
2019,Burundi,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg,2.0,Africa,0.046,,0.447,0.38,0.22,0.176,0.18
2016,Burundi,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg,2.0,Africa,0.06831,0.23442,,0.15747,0.0432,0.2029,
2018,Burundi,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg,2.0,Africa,0.091,,0.627,0.145,0.065,0.149,0.076
2017,Burundi,https://upload.wikimedia.org/wikipedia/commons/5/50/Flag_of_Burundi.svg,2.0,Africa,0.091622569,0.629793584,,0.151610792,0.059900753,0.204435185,
2015,Cambodia,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg,142.0,Asia,0.46038,0.62736,,0.61114,0.66246,0.40359,
2018,Cambodia,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg,142.0,Asia,0.549,,1.088,0.457,0.696,0.256,0.065
2016,Cambodia,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg,142.0,Asia,0.55604,0.5375,,0.42494,0.58852,0.40339,
2019,Cambodia,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg,142.0,Asia,0.574,,1.122,0.637,0.609,0.232,0.062
2017,Cambodia,https://upload.wikimedia.org/wikipedia/commons/8/83/Flag_of_Cambodia.svg,142.0,Asia,0.601765096,1.006238341,,0.429783404,0.633375823,0.385922968,
2015,Cameroon,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,2.0,Africa,0.4225,0.88767,,0.23402,0.49309,0.20618,
2016,Cameroon,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,2.0,Africa,0.52497,0.62542,,0.12698,0.42736,0.2268,
2018,Cameroon,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,2.0,Africa,0.535,,0.891,0.182,0.454,0.183,0.043
2019,Cameroon,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,2.0,Africa,0.549,,0.91,0.331,0.381,0.187,0.037
2017,Cameroon,https://upload.wikimedia.org/wikipedia/commons/4/4f/Flag_of_Cameroon.svg,2.0,Africa,0.564305365,0.946018219,,0.132892117,0.430388749,0.236298457,
2015,Canada,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg,19.0,Americas,1.32629,1.32261,,0.90563,0.63297,0.45811,
2018,Canada,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg,19.0,Americas,1.33,,1.532,0.896,0.653,0.321,0.291
2019,Canada,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg,19.0,Americas,1.365,,1.505,1.039,0.584,0.285,0.308
2016,Canada,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg,19.0,Americas,1.44015,1.0961,,0.8276,0.5737,0.44834,
2017,Canada,https://upload.wikimedia.org/wikipedia/en/c/cf/Flag_of_Canada.svg,19.0,Americas,1.479204416,1.481348991,,0.834557652,0.611100912,0.435539722,
2017,Central African Republic,https://upload.wikimedia.org/wikipedia/commons/6/6f/Flag_of_the_Central_African_Republic.svg,2.0,Africa,0.0,0.0,,0.018772686,0.270842046,0.280876487,
